name,onPlate,onDrive,boosts_atk,boosts_spe,boosts_def,boosts_spa,boosts_spd,onMemory_0,onMemory_1,isNonstandard_Past,isNonstandard_Unobtainable,onTakeItem_False,onEat_False,onFractionalPriority_-0.1,condition_duration_0.0,condition_duration_2.0,condition_onSourceModifyAccuracyPriority_0.0,condition_onSourceModifyAccuracyPriority_3.0,condition_onTryMovePriority_-2.0,onBasePowerPriority_0,onBasePowerPriority_15,onBasePowerPriority_16,isBerry_False,isBerry_True,onModifySpDPriority_0,onModifySpDPriority_1,onModifySpDPriority_2,isPokeball_False,isPokeball_True,onTryHealPriority_0,onTryHealPriority_1,onResidualOrder_0,onResidualOrder_5,onResidualOrder_26,onResidualSubOrder_0,onResidualSubOrder_2,onResidualSubOrder_5,onModifyAccuracyPriority_0,onModifyAccuracyPriority_5,isGem_False,isGem_True,ignoreKlutz_False,ignoreKlutz_True,onModifyAtkPriority_0,onModifyAtkPriority_1,isChoice_False,isChoice_True,onModifySpAPriority_0,onModifySpAPriority_1,onFractionalPriorityPriority_-2,onFractionalPriorityPriority_0,onAttractPriority_-100,onAttractPriority_-1,onAttractPriority_0,onAfterMoveSecondaryPriority_0,onAfterMoveSecondaryPriority_2,onModifyDefPriority_0,onModifyDefPriority_2,onModifyMovePriority_-1,onModifyMovePriority_0,onBoostPriority_-1,onBoostPriority_0,onDamagePriority_-1,onDamagePriority_0,onDamagingHitOrder_0,onDamagingHitOrder_2,onTrapPokemonPriority_-10,onTrapPokemonPriority_0,onAfterMoveSecondarySelfPriority_-1,onAfterMoveSecondarySelfPriority_0,onSourceModifyAccuracyPriority_0,onSourceModifyAccuracyPriority_4
abomasite,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
absolite,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
absorbbulb,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
adamantorb,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
adrenalineorb,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
aerodactylite,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
aggronite,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
aguavberry,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
airballoon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
alakazite,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
