name,heightm,weightkg,evos,tags,vs_normal,vs_fire,vs_water,vs_electric,vs_grass,vs_ice,vs_fighting,vs_poison,vs_ground,vs_flying,vs_psychic,vs_bug,vs_rock,vs_ghost,vs_dragon,vs_dark,vs_steel,vs_fairy,types_Ice,types_Flying,types_Ghost,types_Dragon,types_Poison,types_Fire,types_Electric,types_Steel,types_Fighting,types_Bug,types_Dark,types_Ground,types_Fairy,types_Rock,types_Grass,types_Water,types_Psychic,types_Normal,baseStats_hp,baseStats_atk,baseStats_def,baseStats_spa,baseStats_spd,baseStats_spe
bulbasaur,0.0060060057,0.0069006896,1,0,1.0,0.4666667,0.06666667,0.125,0.0,0.4666667,0.125,0.25,0.25,0.4666667,0.5,0.20000002,0.20000002,0.25,0.5,0.20000002,0.20000002,0.06666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.17322835,0.23783784,0.17959182,0.29891306,0.19565217,0.20512821
ivysaur,0.009009008,0.013001299,1,0,1.0,0.4666667,0.06666667,0.125,0.0,0.4666667,0.125,0.25,0.25,0.4666667,0.5,0.20000002,0.20000002,0.25,0.5,0.20000002,0.20000002,0.06666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.23228347,0.3081081,0.23673467,0.3804348,0.26086956,0.2820513
venusaur,0.019019019,0.10000999,0,0,1.0,0.4666667,0.06666667,0.125,0.0,0.4666667,0.125,0.25,0.25,0.4666667,0.5,0.20000002,0.20000002,0.25,0.5,0.20000002,0.20000002,0.06666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.31102362,0.41621622,0.31836733,0.48913044,0.34782606,0.3846154
venusaurmega,0.023023024,0.15551554,0,0,1.0,0.4666667,0.06666667,0.125,0.0,0.4666667,0.125,0.25,0.25,0.4666667,0.5,0.20000002,0.20000002,0.25,0.5,0.20000002,0.20000002,0.06666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.31102362,0.51351357,0.48163265,0.6086957,0.43478262,0.3846154
venusaurgmax,0.019019019,0.0,0,0,1.0,0.4666667,0.06666667,0.125,0.0,0.4666667,0.125,0.25,0.25,0.4666667,0.5,0.20000002,0.20000002,0.25,0.5,0.20000002,0.20000002,0.06666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.31102362,0.41621622,0.31836733,0.48913044,0.34782606,0.3846154
charmander,0.0050050053,0.00850085,1,0,1.0,0.06666667,0.4666667,0.25,0.06666667,0.06666667,0.25,0.25,0.5,0.20000002,0.25,0.06666667,0.4666667,0.25,0.5,0.20000002,0.06666667,0.06666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1496063,0.25405404,0.15510203,0.27173913,0.13043478,0.30769232
charmeleon,0.01001001,0.0190019,1,0,1.0,0.06666667,0.4666667,0.25,0.06666667,0.06666667,0.25,0.25,0.5,0.20000002,0.25,0.06666667,0.4666667,0.25,0.5,0.20000002,0.06666667,0.06666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.22440945,0.3189189,0.21632652,0.3804348,0.19565217,0.3846154
charizard,0.016016016,0.09050904,0,0,1.0,0.06666667,0.4666667,0.5,0.0,0.20000002,0.125,0.25,0.0,0.20000002,0.25,0.0,1.0,0.25,0.5,0.20000002,0.06666667,0.06666667,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3031496,0.42702702,0.29795918,0.5380435,0.2826087,0.48717952
charizardmegax,0.016016016,0.11051104,0,0,1.0,0.0,0.20000002,0.125,0.0,0.20000002,0.25,0.25,0.5,0.20000002,0.25,0.06666667,0.4666667,0.25,1.0,0.20000002,0.06666667,0.20000002,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3031496,0.6756757,0.43265304,0.65217394,0.2826087,0.48717952
charizardmegay,0.016016016,0.100510046,0,0,1.0,0.06666667,0.4666667,0.5,0.0,0.20000002,0.125,0.25,0.0,0.20000002,0.25,0.0,1.0,0.25,0.5,0.20000002,0.06666667,0.06666667,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3031496,0.53513515,0.29795918,0.8097826,0.41304344,0.48717952
